algorithm,language,sample,time
radixmsd,c,34,0.002475
radixmsd,c,35,0.00278
radixmsd,c,36,0.002373
radixmsd,c,37,0.002329
radixmsd,c,38,0.002342
radixmsd,c,39,0.002828
radixmsd,c,40,0.002665
radixmsd,c,41,0.00252
radixmsd,c,42,0.002653
radixmsd,c,43,0.002768
radixmsd,c,44,0.002372
radixmsd,c,45,0.002333
radixmsd,c,46,0.002403
radixmsd,c,47,0.002817
radixmsd,c,48,0.002688
radixmsd,c,49,0.002407
radixmsd,c,50,0.002473
radixmsd,c,51,0.002753
radixmsd,c,52,0.002513
radixmsd,c,53,0.00282
radixmsd,c,54,0.003037
radixmsd,c,55,0.002426
radixmsd,c,56,0.00246
radixmsd,c,57,0.002419
radixmsd,c,58,0.002837
radixmsd,c,59,0.002874
radixmsd,c,60,0.002657
radixmsd,c,61,0.002772
radixmsd,c,62,0.002343
radixmsd,c,63,0.002447
radixmsd,c,64,0.002776
radixmsd,c,65,0.002789
radixmsd,c,66,0.002467
radixmsd,c,67,0.002406
radixmsd,c,68,0.002619
radixmsd,c,69,0.00238
radixmsd,c,70,0.00257
radixmsd,c,71,0.002805
radixmsd,c,72,0.002607
radixmsd,c,73,0.002415
radixmsd,c,74,0.002486
radixmsd,c,75,0.002463
radixmsd,c,76,0.002569
radixmsd,c,77,0.00257
radixmsd,c,78,0.002624
radixmsd,c,79,0.002636
radixmsd,c,80,0.002488
radixmsd,c,81,0.00237
radixmsd,c,82,0.002412
radixmsd,c,83,0.002592
radixmsd,c,84,0.00276
radixmsd,c,85,0.002854
radixmsd,c,86,0.002649
radixmsd,c,87,0.002747
radixmsd,c,88,0.002474
radixmsd,c,89,0.002731
radixmsd,c,90,0.002716
radixmsd,c,91,0.002521
radixmsd,c,92,0.002428
radixmsd,c,93,0.002341
radixmsd,c,94,0.002469
radixmsd,c,95,0.002951
radixmsd,c,96,0.002754
radixmsd,c,97,0.002363
radixmsd,c,98,0.002762
radixmsd,c,99,0.002352
quick,python,0,0.0624351501464843
quick,python,1,0.0562286376953125
quick,python,2,0.0452339649200439
quick,python,3,0.0430219173431396
quick,python,4,0.0450763702392578
quick,python,5,0.0426812171936035
quick,python,6,0.0506343841552734
quick,python,7,0.0601227283477783
quick,python,8,0.0408847332000732
quick,python,9,0.0432140827178955
quick,python,10,0.0434646606445312
quick,python,11,0.0466430187225341
quick,python,12,0.0488018989562988
quick,python,13,0.0449013710021972
quick,python,14,0.0467808246612548
quick,python,15,0.043870210647583
quick,python,16,0.0434322357177734
quick,python,17,0.0444121360778808
quick,python,18,0.0436141490936279
quick,python,19,0.0429103374481201
quick,python,20,0.0469825267791748
quick,python,21,0.0407667160034179
quick,python,22,0.0415525436401367
quick,python,23,0.047722578048706
quick,python,24,0.0412707328796386
quick,python,25,0.0410032272338867
quick,python,26,0.0431480407714843
quick,python,27,0.0430696010589599
quick,python,28,0.0472042560577392
quick,python,29,0.0409977436065673
quick,python,30,0.0446798801422119
quick,python,31,0.0416922569274902
quick,python,32,0.0431940555572509
quick,python,33,0.0437192916870117
quick,python,34,0.042555809020996
quick,python,35,0.0424659252166748
quick,python,36,0.0450005531311035
quick,python,37,0.0422859191894531
quick,python,38,0.0438644886016845
quick,python,39,0.0457754135131835
quick,python,40,0.0445799827575683
quick,python,41,0.044429063796997
quick,python,42,0.0413417816162109
quick,python,43,0.0434277057647705
quick,python,44,0.0406475067138671
quick,python,45,0.0402717590332031
quick,python,46,0.0464587211608886
quick,python,47,0.0420386791229248
quick,python,48,0.0424444675445556
quick,python,49,0.0483958721160888
quick,python,50,0.0424697399139404
quick,python,51,0.0424456596374511
quick,python,52,0.0410294532775878
quick,python,53,0.0425314903259277
quick,python,54,0.0425069332122802
quick,python,55,0.0453677177429199
quick,python,56,0.0492796897888183
quick,python,57,0.0423965454101562
quick,python,58,0.0405342578887939
quick,python,59,0.0406627655029296
quick,python,60,0.0430305004119873
quick,python,61,0.043203592300415
quick,python,62,0.0427615642547607
quick,python,63,0.0422756671905517
quick,python,64,0.044062852859497
quick,python,65,0.0443925857543945
quick,python,66,0.0410871505737304
quick,python,67,0.0441484451293945
quick,python,68,0.0415596961975097
quick,python,69,0.0439150333404541
quick,python,70,0.0397160053253173
quick,python,71,0.0421390533447265
quick,python,72,0.0411455631256103
quick,python,73,0.0412373542785644
quick,python,74,0.0424857139587402
quick,python,75,0.0478599071502685
quick,python,76,0.050318956375122
quick,python,77,0.0453493595123291
quick,python,78,0.0415639877319335
quick,python,79,0.0422422885894775
quick,python,80,0.0435519218444824
quick,python,81,0.0413401126861572
quick,python,82,0.0417954921722412
quick,python,83,0.0533490180969238
quick,python,84,0.048957347869873
quick,python,85,0.0461230278015136
quick,python,86,0.0456361770629882
quick,python,87,0.05059814453125
quick,python,88,0.0504264831542968
quick,python,89,0.0484418869018554
quick,python,90,0.0430443286895751
quick,python,91,0.0491535663604736
quick,python,92,0.0445573329925537
quick,python,93,0.0482735633850097
quick,python,94,0.0451931953430175
quick,python,95,0.0448832511901855
quick,python,96,0.0445876121520996
quick,python,97,0.0428833961486816
quick,python,98,0.0445857048034668
quick,python,99,0.0420196056365966
heap,python,0,0.0673091411590576
heap,python,1,0.0739750862121582
heap,python,2,0.0871562957763671
heap,python,3,0.0930914878845214
heap,python,4,0.0726993083953857
heap,python,5,0.0679523944854736
heap,python,6,0.0735564231872558
heap,python,7,0.07204270362854
heap,python,8,0.0749940872192382
heap,python,9,0.0695235729217529
heap,python,10,0.0776541233062744
heap,python,11,0.0688245296478271
heap,python,12,0.0694949626922607
heap,python,13,0.0774135589599609
heap,python,14,0.068631887435913
heap,python,15,0.0691192150115966
heap,python,16,0.070159912109375
heap,python,17,0.0688636302947998
heap,python,18,0.0722346305847168
heap,python,19,0.0684039592742919
heap,python,20,0.070242166519165
heap,python,21,0.0731763839721679
heap,python,22,0.0718932151794433
heap,python,23,0.0821077823638916
heap,python,24,0.0704081058502197
heap,python,25,0.0693650245666503
heap,python,26,0.0679092407226562
heap,python,27,0.0666987895965576
heap,python,28,0.0683343410491943
heap,python,29,0.0700428485870361
heap,python,30,0.0928077697753906
heap,python,31,0.0899899005889892
heap,python,32,0.083963394165039
heap,python,33,0.0764358043670654
heap,python,34,0.0789730548858642
heap,python,35,0.0971839427947998
heap,python,36,0.0800576210021972
heap,python,37,0.0796029567718505
heap,python,38,0.0762147903442382
heap,python,39,0.08211350440979
heap,python,40,0.0814433097839355
heap,python,41,0.0848059654235839
heap,python,42,0.0710248947143554
heap,python,43,0.0691883563995361
heap,python,44,0.0743355751037597
heap,python,45,0.1012852191925048
heap,python,46,0.0852749347686767
heap,python,47,0.0863480567932128
heap,python,48,0.078181505203247
heap,python,49,0.1182866096496582
heap,python,50,0.1167309284210205
heap,python,51,0.0869898796081543
heap,python,52,0.0807764530181884
heap,python,53,0.0716283321380615
heap,python,54,0.0720763206481933
heap,python,55,0.071561574935913
heap,python,56,0.0719413757324218
heap,python,57,0.0831646919250488
heap,python,58,0.0832955837249755
heap,python,59,0.0789065361022949
heap,python,60,0.0973412990570068
heap,python,61,0.0699436664581298
heap,python,62,0.0805106163024902
heap,python,63,0.0786182880401611
heap,python,64,0.0748476982116699
heap,python,65,0.0932469367980957
heap,python,66,0.0722503662109375
heap,python,67,0.0701496601104736
heap,python,68,0.0819249153137207
heap,python,69,0.0788393020629882
heap,python,70,0.0744187831878662
heap,python,71,0.0817530155181884
heap,python,72,0.0813214778900146
heap,python,73,0.0698761940002441
heap,python,74,0.0686476230621337
heap,python,75,0.0805683135986328
heap,python,76,0.0768990516662597
heap,python,77,0.0754585266113281
heap,python,78,0.0746965408325195
heap,python,79,0.0776684284210205
heap,python,80,0.0711345672607421
heap,python,81,0.0745160579681396
heap,python,82,0.0699279308319091
heap,python,83,0.0786969661712646
heap,python,84,0.0747382640838623
heap,python,85,0.0844862461090087
heap,python,86,0.0772595405578613
heap,python,87,0.0711231231689453
