algorithm,language,sample,time
radixmsd,lua,5,0.013616
radixmsd,lua,6,0.013664
radixmsd,lua,7,0.013662
radixmsd,lua,8,0.013624
radixmsd,lua,9,0.015917
radixmsd,lua,10,0.013570
radixmsd,lua,11,0.013629
radixmsd,lua,12,0.013642
radixmsd,lua,13,0.013634
radixmsd,lua,14,0.014019
radixmsd,lua,15,0.013670
radixmsd,lua,16,0.013683
radixmsd,lua,17,0.013697
radixmsd,lua,18,0.014549
radixmsd,lua,19,0.014989
radixmsd,lua,20,0.013600
radixmsd,lua,21,0.013917
radixmsd,lua,22,0.013669
radixmsd,lua,23,0.013599
radixmsd,lua,24,0.013654
radixmsd,lua,25,0.013677
radixmsd,lua,26,0.013671
radixmsd,lua,27,0.013603
radixmsd,lua,28,0.013605
radixmsd,lua,29,0.013649
radixmsd,lua,30,0.013646
radixmsd,lua,31,0.013665
radixmsd,lua,32,0.013633
radixmsd,lua,33,0.015948
radixmsd,lua,34,0.014657
radixmsd,lua,35,0.013678
radixmsd,lua,36,0.013622
radixmsd,lua,37,0.013672
radixmsd,lua,38,0.015053
radixmsd,lua,39,0.014200
radixmsd,lua,40,0.013714
radixmsd,lua,41,0.013548
radixmsd,lua,42,0.013669
radixmsd,lua,43,0.013655
radixmsd,lua,44,0.013614
radixmsd,lua,45,0.013589
radixmsd,lua,46,0.013615
radixmsd,lua,47,0.013695
radixmsd,lua,48,0.013670
radixmsd,lua,49,0.013605
radixmsd,lua,50,0.013673
radixmsd,lua,51,0.013683
radixmsd,lua,52,0.013569
radixmsd,lua,53,0.013633
radixmsd,lua,54,0.013744
radixmsd,lua,55,0.013635
radixmsd,lua,56,0.013745
radixmsd,lua,57,0.016473
radixmsd,lua,58,0.014581
radixmsd,lua,59,0.013692
radixmsd,lua,60,0.013638
radixmsd,lua,61,0.014174
radixmsd,lua,62,0.014674
radixmsd,lua,63,0.013668
radixmsd,lua,64,0.015517
radixmsd,lua,65,0.013588
radixmsd,lua,66,0.013663
radixmsd,lua,67,0.013662
radixmsd,lua,68,0.013816
radixmsd,lua,69,0.013812
radixmsd,lua,70,0.013614
radixmsd,lua,71,0.013686
radixmsd,lua,72,0.013642
radixmsd,lua,73,0.014254
radixmsd,lua,74,0.013625
radixmsd,lua,75,0.013553
radixmsd,lua,76,0.014509
radixmsd,lua,77,0.013698
radixmsd,lua,78,0.013670
radixmsd,lua,79,0.013870
radixmsd,lua,80,0.013859
radixmsd,lua,81,0.013647
radixmsd,lua,82,0.013597
radixmsd,lua,83,0.013657
radixmsd,lua,84,0.013556
radixmsd,lua,85,0.013662
radixmsd,lua,86,0.013584
radixmsd,lua,87,0.013603
radixmsd,lua,88,0.013682
radixmsd,lua,89,0.013601
radixmsd,lua,90,0.013660
radixmsd,lua,91,0.014210
radixmsd,lua,92,0.013656
radixmsd,lua,93,0.013493
radixmsd,lua,94,0.013626
radixmsd,lua,95,0.013689
radixmsd,lua,96,0.013630
radixmsd,lua,97,0.013594
radixmsd,lua,98,0.013602
radixmsd,lua,99,0.013625
